Customer_ID,Plan,Contract_Type,Industry,Monthly_Spend_USD,Tenure_Months,NPS_Score,Logins_Per_Month,Days_Since_Last_Login,Churn_Probability,Risk_Tier,Churned,Churn_Probability_Pct
CUST-03052,Starter,Annual,Technology,31.56,4,3,12,30,0.9678809288991944,High Risk,0,96.8
CUST-04914,Starter,Monthly,Marketing,32.38,22,1,13,0,0.9672850832640947,High Risk,1,96.7
CUST-03513,Starter,Monthly,Marketing,32.52,3,1,9,1,0.9672497585847565,High Risk,1,96.7
CUST-04368,Starter,Monthly,Manufacturing,26.6,10,1,23,26,0.9667074339748277,High Risk,1,96.7
CUST-03101,Starter,Monthly,Education,34.15,2,1,20,27,0.966668932131676,High Risk,1,96.7
CUST-03342,Business,Monthly,Technology,255.06,20,1,23,61,0.9657034179632652,High Risk,1,96.6
CUST-01340,Professional,Monthly,Retail,109.03,7,1,20,36,0.9650123836449099,High Risk,1,96.5
CUST-01262,Starter,Monthly,Manufacturing,34.29,5,7,19,54,0.9636415529893236,High Risk,1,96.4
CUST-01397,Starter,Monthly,Finance,28.72,1,4,23,15,0.9619692342443389,High Risk,1,96.2
CUST-01405,Starter,Annual,Technology,34.72,2,1,10,87,0.9611637038470835,High Risk,1,96.1
CUST-00895,Business,Monthly,Retail,295.06,16,2,10,50,0.9607554572461077,High Risk,1,96.1
CUST-01144,Starter,Monthly,Manufacturing,28.5,6,2,9,34,0.9598647225415633,High Risk,1,96.0
CUST-01607,Starter,Monthly,Legal,34.64,2,6,18,23,0.9597867328997354,High Risk,1,96.0
CUST-01118,Starter,Monthly,Healthcare,34.16,6,1,14,25,0.9596628238489175,High Risk,1,96.0
CUST-03107,Starter,Monthly,Technology,32.86,12,2,14,15,0.9591643417674415,High Risk,1,95.9
CUST-01649,Starter,Annual,Education,29.85,12,2,10,40,0.9587850624375177,High Risk,1,95.9
CUST-03734,Professional,Monthly,Marketing,97.1,3,2,19,3,0.9581076435832558,High Risk,1,95.8
CUST-03379,Starter,Monthly,Marketing,27.94,3,4,14,53,0.9579273529994333,High Risk,1,95.8
CUST-03988,Starter,Monthly,Education,37.46,4,4,11,3,0.9577514361610572,High Risk,1,95.8
CUST-04125,Starter,Monthly,Healthcare,27.9,12,4,23,0,0.9575639061428853,High Risk,1,95.8
CUST-02700,Starter,Monthly,Finance,33.37,2,5,14,19,0.956514449724303,High Risk,1,95.7
CUST-01174,Starter,Monthly,Education,32.44,4,3,20,14,0.9563885677438673,High Risk,1,95.6
CUST-04159,Starter,Monthly,Manufacturing,29.43,2,5,10,2,0.9538266082647431,High Risk,1,95.4
CUST-02571,Professional,Monthly,Retail,110.66,14,3,4,38,0.9533181962508505,High Risk,1,95.3
CUST-02724,Starter,Monthly,Finance,28.75,6,3,17,5,0.9528190208176859,High Risk,1,95.3
CUST-00251,Starter,Monthly,Manufacturing,26.25,19,8,11,7,0.9527507077015073,High Risk,1,95.3
CUST-01060,Starter,Annual,Marketing,34.92,3,3,5,51,0.9495044767315101,High Risk,1,95.0
CUST-03707,Starter,Monthly,Marketing,36.96,2,2,12,16,0.9492910802197153,High Risk,1,94.9
CUST-01355,Professional,Monthly,Retail,92.34,12,3,9,20,0.9488435360812588,High Risk,1,94.9
CUST-00620,Starter,Monthly,Marketing,31.05,9,3,21,73,0.9478198542406456,High Risk,1,94.8
CUST-03605,Professional,Monthly,Legal,107.36,19,1,18,20,0.9470606995362549,High Risk,0,94.7
CUST-03078,Starter,Monthly,Legal,32.48,6,2,6,10,0.9467276810486008,High Risk,1,94.7
CUST-04132,Professional,Monthly,Healthcare,103.89,10,9,12,32,0.9456693847980553,High Risk,1,94.6
CUST-03782,Starter,Monthly,Healthcare,26.14,5,3,18,11,0.9455037783252923,High Risk,0,94.6
CUST-01451,Professional,Monthly,Healthcare,102.52,14,3,15,96,0.9452557764807692,High Risk,1,94.5
CUST-04415,Business,Monthly,Legal,299.3,6,1,12,33,0.9444084578083795,High Risk,1,94.4
CUST-04834,Starter,Monthly,Finance,28.57,3,5,4,20,0.944385287186492,High Risk,1,94.4
CUST-02470,Starter,Monthly,Healthcare,35.14,2,7,21,85,0.9442920382526199,High Risk,1,94.4
CUST-00751,Business,Monthly,Education,255.41,4,5,14,26,0.9441785084586312,High Risk,1,94.4
CUST-02274,Professional,Annual,Manufacturing,118.73,4,2,7,1,0.9437447275656061,High Risk,1,94.4
CUST-00349,Starter,Monthly,Education,26.44,14,1,14,4,0.9431012102224415,High Risk,1,94.3
CUST-01155,Professional,Monthly,Healthcare,105.88,17,2,22,9,0.9429137139017265,High Risk,1,94.3
CUST-00583,Starter,Monthly,Manufacturing,35.47,4,8,12,5,0.9427110770201328,High Risk,1,94.3
CUST-02967,Starter,Monthly,Technology,34.09,2,6,10,10,0.9425389330156826,High Risk,1,94.3
CUST-04198,Starter,Monthly,Manufacturing,28.54,12,3,16,37,0.9418594949253943,High Risk,1,94.2
CUST-00760,Starter,Monthly,Legal,29.78,7,1,18,48,0.9418593216571962,High Risk,1,94.2
CUST-01930,Starter,Monthly,Retail,35.39,9,2,21,1,0.9406367657646934,High Risk,1,94.1
CUST-02879,Starter,Monthly,Finance,33.48,17,1,23,1,0.940323070684639,High Risk,1,94.0
CUST-04002,Starter,Monthly,Marketing,28.87,2,4,8,11,0.9390553971964714,High Risk,1,93.9
CUST-01455,Business,Monthly,Technology,242.46,2,1,17,31,0.9390128854816492,High Risk,1,93.9
CUST-01556,Starter,Monthly,Finance,32.31,2,1,16,62,0.9385735644486766,High Risk,1,93.9
CUST-01623,Starter,Monthly,Finance,37.6,3,2,19,28,0.9385142174498724,High Risk,1,93.9
CUST-04459,Starter,Monthly,Technology,33.5,11,7,2,7,0.9381349684648524,High Risk,1,93.8
CUST-03104,Professional,Monthly,Manufacturing,114.23,23,3,8,0,0.9380243633167229,High Risk,1,93.8
CUST-00746,Professional,Monthly,Legal,120.62,3,1,20,59,0.9378370548854433,High Risk,1,93.8
CUST-04447,Starter,Monthly,Finance,27.95,14,4,11,0,0.9377334619314456,High Risk,1,93.8
CUST-04215,Professional,Annual,Healthcare,113.93,4,2,12,16,0.9369816901452175,High Risk,1,93.7
CUST-00011,Starter,Annual,Manufacturing,34.92,22,4,13,65,0.9367717236678275,High Risk,1,93.7
CUST-02320,Professional,Monthly,Marketing,123.29,11,1,6,15,0.9364130886083999,High Risk,1,93.6
CUST-04924,Starter,Monthly,Retail,34.45,9,2,5,19,0.9352909006548845,High Risk,1,93.5
CUST-02814,Starter,Monthly,Finance,34.13,2,1,15,9,0.9347375291267648,High Risk,1,93.5
CUST-01946,Business,Monthly,Legal,297.19,3,6,17,5,0.9347285642728236,High Risk,1,93.5
CUST-04727,Starter,Monthly,Finance,33.77,1,6,7,27,0.9337799696408803,High Risk,1,93.4
CUST-03467,Professional,Monthly,Finance,90.78,1,3,7,16,0.9336531109805352,High Risk,1,93.4
CUST-02475,Professional,Annual,Technology,114.65,8,2,6,70,0.9334630483559971,High Risk,1,93.3
CUST-02348,Starter,Monthly,Finance,34.91,26,1,20,24,0.9331115493436245,High Risk,1,93.3
CUST-02316,Starter,Monthly,Legal,29.75,12,5,9,14,0.9331002328322807,High Risk,0,93.3
CUST-04880,Starter,Annual,Manufacturing,28.9,8,3,13,24,0.9330830990485363,High Risk,1,93.3
CUST-03572,Starter,Monthly,Education,34.41,4,4,20,11,0.9329355977584292,High Risk,1,93.3
CUST-01962,Starter,Monthly,Healthcare,26.99,3,2,20,20,0.9327508429224544,High Risk,1,93.3
CUST-01965,Starter,Monthly,Healthcare,26.91,11,2,7,14,0.9322197027346106,High Risk,1,93.2
CUST-04414,Starter,Monthly,Healthcare,33.62,16,1,12,5,0.9313815438654537,High Risk,1,93.1
CUST-04520,Professional,Monthly,Healthcare,106.68,17,3,21,30,0.9311436949567254,High Risk,1,93.1
CUST-01697,Starter,Monthly,Legal,26.81,13,2,13,43,0.9301175673307175,High Risk,1,93.0
CUST-04851,Professional,Monthly,Marketing,113.53,1,1,20,16,0.9298514071431035,High Risk,1,93.0
CUST-01603,Starter,Monthly,Healthcare,28.13,3,1,20,17,0.9288191110760112,High Risk,1,92.9
CUST-01184,Starter,Annual,Education,32.99,5,7,17,53,0.92865630810815,High Risk,1,92.9
CUST-00616,Professional,Monthly,Legal,116.1,4,1,7,0,0.9281043597245365,High Risk,1,92.8
CUST-00494,Professional,Annual,Education,128.45,1,2,15,16,0.9270378831992305,High Risk,1,92.7
CUST-01280,Business,Monthly,Finance,237.15,23,5,13,12,0.9269960619342064,High Risk,1,92.7
CUST-02165,Starter,Annual,Technology,28.36,5,2,12,9,0.9268057433536802,High Risk,1,92.7
CUST-04291,Business,Monthly,Technology,310.59,5,3,5,63,0.9264346372454274,High Risk,1,92.6
CUST-03480,Professional,Monthly,Legal,98.3,3,4,19,7,0.926379428544212,High Risk,1,92.6
CUST-00696,Business,Monthly,Finance,271.59,2,3,11,5,0.9254946933386798,High Risk,1,92.5
CUST-01822,Business,Monthly,Education,286.16,3,1,21,72,0.9250866898369863,High Risk,1,92.5
CUST-02355,Starter,Monthly,Education,34.55,16,3,18,75,0.9250060604107242,High Risk,1,92.5
CUST-02329,Starter,Two-Year,Legal,34.77,1,6,10,112,0.9246486438996365,High Risk,1,92.5
CUST-04361,Starter,Monthly,Finance,35.37,7,2,20,11,0.9246331779650132,High Risk,0,92.5
CUST-02416,Starter,Monthly,Marketing,29.31,8,1,20,28,0.9245192824640949,High Risk,1,92.5
CUST-01122,Starter,Monthly,Technology,35.37,2,2,15,5,0.9244749135240344,High Risk,1,92.4
CUST-03725,Professional,Monthly,Finance,92.35,16,1,11,16,0.9243488072035296,High Risk,0,92.4
CUST-02557,Professional,Monthly,Finance,102.52,16,3,8,45,0.9237726466095624,High Risk,1,92.4
CUST-02075,Starter,Monthly,Manufacturing,30.07,8,8,8,1,0.9230417990652968,High Risk,1,92.3
CUST-01072,Starter,Monthly,Marketing,34.52,1,4,19,5,0.9224583825530992,High Risk,1,92.2
CUST-00911,Business,Monthly,Manufacturing,239.11,5,1,11,7,0.9217531270304076,High Risk,1,92.2
CUST-01463,Starter,Monthly,Retail,28.33,6,1,15,27,0.921738087651154,High Risk,1,92.2
CUST-01782,Starter,Monthly,Marketing,35.48,3,2,19,34,0.9215596358471344,High Risk,0,92.2
CUST-03803,Starter,Monthly,Finance,35.13,1,9,12,27,0.9215561406623249,High Risk,1,92.2
CUST-00257,Starter,Annual,Retail,31.98,13,2,23,7,0.9214893730659477,High Risk,1,92.1
CUST-01738,Professional,Monthly,Education,109.87,10,7,16,34,0.9212319418722421,High Risk,1,92.1
CUST-01982,Professional,Monthly,Legal,122.36,7,1,16,47,0.9200685204079522,High Risk,1,92.0
CUST-01987,Starter,Monthly,Education,28.57,4,7,9,51,0.9197713721358756,High Risk,1,92.0
CUST-04825,Starter,Annual,Manufacturing,26.65,5,5,7,79,0.9191776145926562,High Risk,1,91.9
CUST-01838,Starter,Monthly,Manufacturing,31.82,18,1,13,1,0.9190192227005715,High Risk,0,91.9
CUST-04310,Starter,Monthly,Healthcare,29.62,9,2,24,25,0.918810906555438,High Risk,1,91.9
CUST-01461,Starter,Monthly,Manufacturing,36.07,14,2,10,9,0.9185742309555542,High Risk,1,91.9
CUST-04123,Starter,Monthly,Marketing,28.7,6,1,22,4,0.9183862503080258,High Risk,1,91.8
CUST-02313,Starter,Monthly,Healthcare,27.5,1,5,12,33,0.9177678994059125,High Risk,0,91.8
CUST-01482,Starter,Monthly,Legal,28.11,15,2,8,43,0.9176338055499459,High Risk,1,91.8
CUST-02577,Starter,Monthly,Finance,36.39,8,3,21,23,0.9172544927197314,High Risk,1,91.7
CUST-02523,Starter,Annual,Healthcare,33.63,23,1,8,45,0.9171330768033344,High Risk,1,91.7
CUST-02545,Professional,Monthly,Retail,117.96,2,1,26,7,0.9168353202424246,High Risk,1,91.7
CUST-03321,Professional,Annual,Marketing,113.48,18,2,12,8,0.9164915396571539,High Risk,1,91.6
CUST-04673,Professional,Monthly,Technology,114.24,3,3,7,44,0.9160283856864527,High Risk,1,91.6
CUST-01129,Business,Monthly,Education,317.39,8,3,9,49,0.9159728344014615,High Risk,1,91.6
CUST-00433,Starter,Monthly,Technology,27.99,12,3,9,28,0.9159512861495906,High Risk,1,91.6
CUST-04382,Professional,Monthly,Healthcare,106.02,2,5,12,12,0.9154975369511579,High Risk,1,91.5
CUST-00781,Starter,Annual,Legal,29.27,8,8,21,53,0.915415677352201,High Risk,1,91.5
CUST-04752,Starter,Monthly,Manufacturing,31.8,6,7,24,1,0.9147244936563204,High Risk,1,91.5
CUST-04633,Starter,Monthly,Legal,31.6,7,2,6,5,0.9138510783519457,High Risk,1,91.4
CUST-03582,Business,Monthly,Healthcare,300.82,4,3,10,22,0.9137638821538395,High Risk,1,91.4
CUST-03460,Starter,Monthly,Legal,36.24,5,3,10,18,0.9136826112018378,High Risk,1,91.4
CUST-04742,Professional,Monthly,Manufacturing,125.11,5,2,29,27,0.9136566718249669,High Risk,1,91.4
CUST-01621,Starter,Monthly,Legal,26.49,6,2,9,4,0.9134015946724312,High Risk,1,91.3
CUST-02989,Professional,Monthly,Manufacturing,101.28,7,3,22,31,0.9133281057328344,High Risk,1,91.3
CUST-04352,Starter,Monthly,Retail,37.45,13,5,15,22,0.9131846355466485,High Risk,1,91.3
CUST-00887,Business,Monthly,Technology,233.61,1,2,9,17,0.9125942661187967,High Risk,1,91.3
CUST-04052,Starter,Monthly,Retail,29.39,3,3,15,26,0.9123815200383192,High Risk,1,91.2
CUST-00420,Starter,Monthly,Manufacturing,37.14,5,4,9,3,0.912012175986849,High Risk,1,91.2
CUST-01542,Starter,Monthly,Healthcare,33.45,20,1,5,5,0.9116427441832109,High Risk,1,91.2
CUST-00894,Starter,Monthly,Legal,29.61,1,1,21,16,0.9112105181616593,High Risk,1,91.1
CUST-03939,Starter,Monthly,Legal,30.49,3,4,23,10,0.9110235941864029,High Risk,1,91.1
CUST-02719,Starter,Monthly,Legal,36.81,3,3,20,31,0.9105181489032905,High Risk,1,91.1
CUST-01716,Starter,Monthly,Manufacturing,32.35,3,3,7,23,0.9102147156235278,High Risk,1,91.0
CUST-01093,Starter,Monthly,Retail,28.33,3,3,20,40,0.9095833812026837,High Risk,1,91.0
CUST-03090,Starter,Monthly,Technology,34.08,1,3,12,25,0.9092662756318991,High Risk,1,90.9
CUST-01936,Professional,Monthly,Legal,122.29,8,1,12,24,0.9090741624131674,High Risk,1,90.9
CUST-00900,Starter,Monthly,Manufacturing,35.92,1,2,13,6,0.9088812604862951,High Risk,1,90.9
CUST-01652,Starter,Monthly,Legal,33.68,9,5,7,35,0.9086042863047761,High Risk,1,90.9
CUST-00881,Starter,Annual,Legal,35.8,8,1,7,37,0.9079192019097305,High Risk,1,90.8
CUST-01498,Starter,Annual,Legal,36.13,1,10,5,41,0.9075405315407401,High Risk,1,90.8
CUST-04946,Starter,Annual,Manufacturing,26.44,20,3,9,5,0.9075359886755217,High Risk,1,90.8
CUST-04140,Starter,Monthly,Manufacturing,36.15,8,1,18,0,0.9062227440469165,High Risk,1,90.6
CUST-02771,Starter,Monthly,Finance,26.69,17,8,18,16,0.9061023766186486,High Risk,1,90.6
CUST-02608,Starter,Monthly,Healthcare,34.64,21,3,18,30,0.9057534625172864,High Risk,1,90.6
CUST-02307,Starter,Monthly,Marketing,30.54,3,4,21,1,0.9048630397471212,High Risk,1,90.5
CUST-00514,Starter,Monthly,Finance,34.37,11,4,19,33,0.904717295592444,High Risk,1,90.5
CUST-00477,Starter,Monthly,Legal,37.68,2,2,19,8,0.9030528868381116,High Risk,1,90.3
CUST-01224,Starter,Monthly,Finance,35.8,9,2,17,42,0.9029489998743359,High Risk,1,90.3
CUST-01758,Starter,Monthly,Manufacturing,35.1,4,3,19,24,0.9026946074564213,High Risk,1,90.3
CUST-02669,Professional,Monthly,Marketing,114.4,2,1,15,3,0.9024418796732941,High Risk,1,90.2
CUST-02036,Professional,Two-Year,Finance,110.54,1,1,18,55,0.9022970498267231,High Risk,0,90.2
CUST-00346,Professional,Monthly,Marketing,118.58,3,1,20,5,0.9020548897971855,High Risk,1,90.2
CUST-02349,Starter,Monthly,Manufacturing,34.15,7,3,20,3,0.9019278731659508,High Risk,1,90.2
CUST-01525,Starter,Monthly,Marketing,26.94,5,4,6,1,0.9016648858712285,High Risk,1,90.2
CUST-04760,Starter,Monthly,Legal,35.87,1,4,15,42,0.9015230319863394,High Risk,1,90.2
CUST-00886,Starter,Monthly,Marketing,27.15,8,1,18,0,0.9010607807392974,High Risk,1,90.1
CUST-04256,Starter,Monthly,Finance,30.58,1,7,12,13,0.9000446764957539,High Risk,0,90.0
CUST-02032,Professional,Monthly,Technology,102.45,15,3,10,29,0.8999084550545192,High Risk,1,90.0
CUST-04399,Starter,Monthly,Retail,33.14,12,8,6,4,0.8992695113435969,High Risk,0,89.9
CUST-02855,Starter,Monthly,Marketing,26.82,1,1,24,14,0.898745019063704,High Risk,1,89.9
CUST-00591,Professional,Monthly,Retail,127.95,2,3,14,8,0.8987285267984683,High Risk,1,89.9
CUST-03947,Starter,Annual,Retail,32.47,6,4,16,34,0.8975880811328273,High Risk,1,89.8
CUST-03742,Starter,Annual,Legal,32.64,21,1,10,28,0.8974590482122394,High Risk,1,89.7
CUST-04067,Business,Monthly,Retail,310.34,8,3,6,5,0.8973476298475754,High Risk,1,89.7
CUST-03395,Starter,Annual,Education,34.33,5,4,19,25,0.8968435507424971,High Risk,1,89.7
CUST-04547,Professional,Monthly,Legal,94.71,11,3,8,17,0.8966976573819877,High Risk,0,89.7
CUST-00242,Professional,Monthly,Manufacturing,93.76,2,1,9,15,0.8966960519154289,High Risk,1,89.7
CUST-04990,Professional,Monthly,Retail,99.15,4,10,17,38,0.8964194649188585,High Risk,1,89.6
CUST-01732,Starter,Monthly,Technology,33.45,7,3,5,27,0.8958176250925328,High Risk,1,89.6
CUST-02055,Business,Annual,Retail,296.5,3,1,25,89,0.8957601231315467,High Risk,1,89.6
CUST-04961,Professional,Monthly,Healthcare,89.56,3,2,8,53,0.8954983413405082,High Risk,1,89.5
CUST-00498,Starter,Monthly,Healthcare,27.79,2,1,11,7,0.8954015210672257,High Risk,1,89.5
CUST-00472,Starter,Monthly,Technology,29.96,2,3,23,2,0.8951296349031003,High Risk,1,89.5
CUST-00228,Starter,Monthly,Retail,34.88,7,3,10,13,0.8948098775973551,High Risk,1,89.5
CUST-00252,Starter,Monthly,Marketing,28.13,12,3,20,21,0.894531014455354,High Risk,1,89.5
CUST-01914,Professional,Monthly,Manufacturing,89.87,6,1,16,15,0.8944524316366942,High Risk,1,89.4
CUST-01052,Starter,Monthly,Finance,31.05,15,3,10,11,0.8941821820194199,High Risk,1,89.4
CUST-00856,Starter,Monthly,Retail,36.61,26,6,11,42,0.8941529145788815,High Risk,1,89.4
CUST-00289,Professional,Monthly,Finance,124.38,9,10,7,9,0.8937215993688248,High Risk,1,89.4
CUST-02848,Business,Monthly,Retail,228.72,5,1,12,17,0.8930731163171456,High Risk,1,89.3
CUST-00851,Starter,Monthly,Manufacturing,36.3,1,1,15,0,0.8925571286886377,High Risk,1,89.3
CUST-00752,Business,Monthly,Finance,238.14,13,1,12,32,0.8923715360431573,High Risk,1,89.2
CUST-02244,Starter,Monthly,Retail,32.07,19,5,6,4,0.8916742333691182,High Risk,1,89.2
CUST-04080,Business,Monthly,Manufacturing,321.35,12,1,8,75,0.8915910118928952,High Risk,1,89.2
CUST-03303,Starter,Monthly,Marketing,30.38,5,1,12,26,0.891300504595826,High Risk,0,89.1
CUST-01890,Starter,Monthly,Healthcare,29.32,8,1,16,12,0.891245681265233,High Risk,1,89.1
CUST-03457,Professional,Monthly,Education,128.16,7,2,17,25,0.8908068116550716,High Risk,1,89.1
CUST-00580,Starter,Monthly,Manufacturing,35.28,5,6,30,5,0.8905238699659659,High Risk,1,89.1
CUST-04544,Professional,Monthly,Technology,111.72,5,1,13,20,0.8902026238052075,High Risk,1,89.0
CUST-02132,Starter,Annual,Marketing,27.55,3,1,24,5,0.8901859727682125,High Risk,1,89.0
CUST-02509,Starter,Monthly,Retail,36.46,1,1,22,6,0.8896002224477403,High Risk,1,89.0
CUST-00899,Starter,Monthly,Legal,32.33,3,2,14,19,0.8894957540568603,High Risk,1,88.9
CUST-04405,Professional,Monthly,Finance,109.57,7,3,17,18,0.8893298073007513,High Risk,1,88.9
CUST-00674,Starter,Annual,Healthcare,27.0,13,2,14,43,0.8893005193993169,High Risk,1,88.9
CUST-01203,Starter,Monthly,Manufacturing,32.69,21,1,20,16,0.8889675904762043,High Risk,1,88.9
CUST-02109,Business,Monthly,Technology,259.38,1,3,9,43,0.8884229168380781,High Risk,1,88.8
CUST-02347,Business,Annual,Finance,277.69,21,1,8,10,0.8878367204967983,High Risk,1,88.8
CUST-03168,Starter,Monthly,Legal,30.75,16,5,16,45,0.8877746989945404,High Risk,1,88.8
CUST-04367,Starter,Monthly,Legal,35.16,4,9,20,13,0.8872540960266776,High Risk,1,88.7
CUST-02188,Professional,Monthly,Legal,107.78,15,9,16,39,0.8871872987472559,High Risk,1,88.7
CUST-04737,Starter,Monthly,Finance,34.84,4,3,9,12,0.8870725653974874,High Risk,0,88.7
CUST-02224,Starter,Monthly,Retail,35.78,9,4,19,32,0.8870525398772952,High Risk,1,88.7
CUST-04732,Starter,Annual,Technology,26.54,6,5,15,52,0.8869549659690957,High Risk,1,88.7
CUST-03437,Professional,Monthly,Education,100.62,9,6,18,37,0.8865350399363379,High Risk,1,88.7
CUST-02477,Starter,Monthly,Legal,30.79,16,7,15,28,0.8863295428800781,High Risk,1,88.6
CUST-01406,Starter,Monthly,Healthcare,34.39,19,1,11,19,0.886308245580133,High Risk,0,88.6
CUST-00086,Starter,Annual,Technology,33.97,3,4,15,39,0.8863014915126359,High Risk,1,88.6
CUST-02154,Starter,Monthly,Marketing,35.56,7,1,8,43,0.8862995684886776,High Risk,1,88.6
CUST-02518,Starter,Monthly,Healthcare,31.76,25,1,25,13,0.885949869364237,High Risk,1,88.6
CUST-02344,Professional,Monthly,Marketing,98.54,2,2,11,37,0.8859437449941631,High Risk,1,88.6
CUST-01331,Starter,Monthly,Healthcare,37.38,9,10,28,36,0.8858683577879992,High Risk,1,88.6
CUST-04040,Professional,Monthly,Finance,120.33,16,5,14,15,0.8857448682958514,High Risk,1,88.6
CUST-02898,Starter,Monthly,Legal,34.71,20,1,21,21,0.8856398846337817,High Risk,1,88.6
CUST-03702,Starter,Monthly,Legal,27.01,10,2,12,10,0.8855866879105122,High Risk,1,88.6
CUST-04167,Starter,Monthly,Manufacturing,34.87,9,2,11,3,0.8854217856814739,High Risk,1,88.5
CUST-02080,Professional,Monthly,Retail,123.44,4,2,3,10,0.8853640853980769,High Risk,1,88.5
CUST-01531,Professional,Monthly,Retail,121.62,1,5,19,12,0.8853300524851876,High Risk,0,88.5
CUST-02264,Starter,Monthly,Finance,37.26,9,5,8,11,0.8851495026634626,High Risk,1,88.5
CUST-01002,Starter,Annual,Manufacturing,26.69,15,3,8,11,0.8850976501590165,High Risk,1,88.5
CUST-04871,Starter,Monthly,Legal,34.7,7,4,13,29,0.884785454009739,High Risk,1,88.5
CUST-04258,Starter,Monthly,Finance,34.2,8,6,14,23,0.8847091019219396,High Risk,1,88.5
CUST-02822,Professional,Monthly,Healthcare,128.46,9,1,14,23,0.8843650587502386,High Risk,1,88.4
CUST-03990,Professional,Monthly,Retail,121.01,4,6,14,19,0.8843350355545737,High Risk,1,88.4
CUST-02067,Professional,Monthly,Finance,117.16,1,3,20,30,0.8843129114470283,High Risk,1,88.4
CUST-00135,Starter,Two-Year,Finance,36.77,16,2,12,4,0.8832459458923698,High Risk,1,88.3
CUST-04571,Starter,Monthly,Marketing,35.82,12,7,11,7,0.8831470215021814,High Risk,0,88.3
CUST-01835,Starter,Monthly,Legal,35.38,3,7,13,29,0.8828699502585831,High Risk,1,88.3
CUST-01985,Starter,Annual,Legal,36.0,2,5,14,57,0.882720263546396,High Risk,1,88.3
CUST-02236,Starter,Monthly,Finance,26.36,22,2,12,8,0.8825773011887541,High Risk,1,88.3
CUST-01631,Starter,Monthly,Legal,30.03,8,5,17,31,0.8824827983076308,High Risk,1,88.2
CUST-01432,Starter,Monthly,Legal,28.73,4,3,14,33,0.8821198559687915,High Risk,1,88.2
CUST-03603,Starter,Monthly,Legal,34.05,3,3,17,3,0.8818561662050165,High Risk,1,88.2
CUST-03919,Business,Annual,Education,249.91,22,2,25,74,0.8818344711664168,High Risk,1,88.2
CUST-00145,Professional,Monthly,Finance,104.12,6,2,8,27,0.8818268573892837,High Risk,1,88.2
CUST-04506,Starter,Monthly,Retail,36.96,4,3,19,24,0.8817347087177696,High Risk,1,88.2
CUST-03828,Professional,Monthly,Legal,113.73,4,5,14,3,0.8810534272205973,High Risk,1,88.1
CUST-00603,Professional,Monthly,Legal,109.35,11,2,19,41,0.8809799176545307,High Risk,1,88.1
CUST-01230,Professional,Monthly,Legal,116.29,15,6,19,23,0.8806556455447981,High Risk,1,88.1
CUST-02482,Starter,Monthly,Education,26.82,9,3,10,39,0.880595055461943,High Risk,1,88.1
CUST-02920,Starter,Monthly,Manufacturing,33.45,11,9,12,41,0.8803248943410814,High Risk,1,88.0
CUST-01330,Starter,Monthly,Legal,33.74,23,2,12,10,0.8800960508433705,High Risk,1,88.0
CUST-01953,Starter,Annual,Education,35.18,12,1,9,27,0.879956909982391,High Risk,1,88.0
CUST-03183,Business,Annual,Retail,287.08,1,3,13,7,0.8795907021852687,High Risk,1,88.0
CUST-00417,Starter,Monthly,Finance,32.58,2,4,17,5,0.8794902049090536,High Risk,1,87.9
CUST-03610,Business,Monthly,Finance,243.2,8,3,13,55,0.8792455521585452,High Risk,1,87.9
